name,category,type,latitude,longitude
Interstellar BBQ,amenity,restaurant,30.4614582,-97.8151755
K-Pub Korean Cuisine & Karaoke,amenity,restaurant,30.4615135,-97.8149993
Dutch Bros. Coffee,amenity,cafe,30.3013564,-97.6620305
Josephine House,amenity,restaurant,30.2805739,-97.7590331
Nomade,amenity,restaurant,30.2497111,-97.7552994
La Posada,amenity,restaurant,30.2083161,-97.8154776
Terrazzo Tea,amenity,cafe,30.2619053,-97.7209601
Cafe Americana,amenity,cafe,30.3118866,-97.7603128
Marco's Pizza,amenity,fast_food,30.2084802,-97.8164895
Cuba512,amenity,restaurant,30.2090073,-97.8160037
Lala's South Pole,amenity,bar,30.1911471,-97.8322305
Domino's,amenity,fast_food,30.2081783,-97.8172017
China Hill,amenity,restaurant,30.2083036,-97.8173379
Bread Basket Mets,shop,convenience,30.2083762,-97.817492
Krispy Krunchy Chicken,amenity,fast_food,30.3202226,-97.707932
7-Eleven,shop,convenience,30.3412543,-97.7007537
The Lodge,amenity,bar,30.2668174,-97.7388823
Toulouse on 6th Street,amenity,bar,30.2668447,-97.7389497
The Roof Top on 6th,amenity,bar,30.2668797,-97.7390899
Pour Choices,amenity,bar,30.2669109,-97.7392228
The Library,amenity,bar,30.2668647,-97.7390182
Casa de Luz East,amenity,restaurant,30.2796688,-97.7201984
First Watch,amenity,restaurant,30.3763351,-97.6309039
Pho with Us,amenity,restaurant,30.1555594,-97.7926009
Sonic,amenity,fast_food,30.3201418,-97.6971762
Paprika ATX,amenity,restaurant,30.3337121,-97.7211323
The Soup Peddler - Far West,amenity,restaurant,30.3556256,-97.7569394
Barley Bean,amenity,cafe,30.2391904,-97.7889109
Mission Burger Co.,amenity,restaurant,30.2392513,-97.7888107
The One Pho,amenity,restaurant,30.3987043,-97.7446826
Speedway Grocery,shop,grocery,30.2999141,-97.7331419
Café at the Loren,amenity,cafe,30.2642132,-97.7569712
Nido,amenity,restaurant,30.264188,-97.7568807
Perry's Steakhouse & Grille,amenity,restaurant,30.4044785,-97.7209528
Nabe Sushi,amenity,restaurant,30.3954831,-97.8481543
La Frontera,amenity,restaurant,30.3951466,-97.8475022
Howdy Donuts,amenity,fast_food,30.3956086,-97.8483645
KG BBQ,amenity,restaurant,30.2868181,-97.7051802
P6 – Rooftop Bar,amenity,restaurant,30.2627052,-97.7438717
Super Burrito at The Water Tank,amenity,cafe,30.4350464,-97.7667828
Medici Roasting,amenity,cafe,30.3933042,-97.7253028
Medici Roasting,amenity,cafe,30.2672535,-97.6923084
Halal Bros,amenity,restaurant,30.2924949,-97.7415967
Halal Bros,amenity,restaurant,30.234372,-97.7928648
Halal Bros,amenity,restaurant,30.4529304,-97.8275404
Stop N Tote,shop,convenience,30.256545,-97.7115887
Bread Boat,amenity,restaurant,30.2626088,-97.7207919
Godsent Coffee,amenity,cafe,30.4463594,-97.7972092
Rockin' Rolls,amenity,fast_food,30.3210683,-97.7397322
El Xolo Tacos,amenity,restaurant,30.2795932,-97.7208712
Drink Margarita Bar,amenity,bar,30.4705134,-97.807056
Postino Bryker Woods,amenity,restaurant,30.3074114,-97.7515162
Wonky Blends,amenity,fast_food,30.1853432,-97.7920395
Wonky Blends,amenity,fast_food,30.2633017,-97.7140328
Domino's,amenity,fast_food,30.3883924,-97.6498967
Muse Coffee Co,amenity,cafe,30.3196075,-97.7300718
"Texas Law Guns, Injury & Accident Lawyers",shop,supermarket,30.2347295,-97.7395377
Uncle Nicky's Italian Specialties,amenity,restaurant,30.2476543,-97.7719211
Bird Bird Bisquit,amenity,restaurant,30.2474561,-97.7718377
San Ginés,amenity,restaurant,30.2486236,-97.7702447
Paperboy,amenity,restaurant,30.2535458,-97.7627822
Kiin Di,amenity,restaurant,30.247159,-97.7774714
JD's Supermarket #9,shop,supermarket,30.2257083,-97.7038991
Choo Sando,amenity,restaurant,30.3246421,-97.740135
Kitsu Nori,amenity,restaurant,30.2475177,-97.774885
Azul Tequila,amenity,restaurant,30.2336597,-97.792195
Ex Files,amenity,bar,30.249263,-97.768766
Li'l Nonna's,amenity,restaurant,30.2955474,-97.7416677
Two Hands,amenity,fast_food,30.2535094,-97.7480061
Veracruz,amenity,fast_food,30.2629358,-97.7444739
Half Moon,amenity,fast_food,30.2023843,-97.6671393
WEIRDO,shop,convenience,30.4279082,-97.6640611
