h3,noise_311
89489e22b43ffff,4
89489e22b4bffff,9
89489e22b53ffff,10
89489e22b57ffff,2
89489e22b5bffff,1
89489e22b63ffff,1
89489e22b6bffff,9
89489e22b6fffff,22
89489e22b73ffff,12
89489e22ba3ffff,58
89489e22ba7ffff,23
89489e22babffff,13
89489e22bafffff,6
89489e22bb7ffff,108
89489e22bbbffff,1
89489e22bcfffff,2
89489e22c03ffff,52
89489e22c07ffff,22
89489e22c0bffff,3
89489e22c0fffff,19
89489e22c13ffff,10
89489e22c17ffff,39
89489e22c1bffff,15
89489e22c23ffff,6
89489e22c27ffff,12
89489e22c2bffff,10
89489e22c2fffff,7
89489e22c33ffff,21
89489e22c37ffff,5
89489e22c3bffff,16
89489e22c43ffff,151
89489e22c47ffff,38
89489e22c4bffff,14
89489e22c4fffff,24
89489e22c53ffff,91
89489e22c57ffff,18
89489e22c5bffff,58
89489e22c6bffff,29
89489e22c73ffff,6
89489e22c77ffff,15
89489e22c7bffff,2
89489e22c83ffff,7
89489e22c87ffff,31
89489e22c8fffff,118
89489e22c93ffff,2
89489e22c97ffff,11
89489e22ca3ffff,46
89489e22ca7ffff,13
89489e22cabffff,2
89489e22cafffff,7
89489e22cb3ffff,146
89489e22cb7ffff,40
89489e22cbbffff,26
89489e22cc3ffff,5
89489e22cc7ffff,6
89489e22ccbffff,3
89489e22ccfffff,2
89489e22cd3ffff,32
89489e22cd7ffff,4
89489e22d03ffff,11
89489e22d07ffff,235
89489e22d0bffff,12
89489e22d0fffff,54
89489e22d13ffff,13
89489e22d17ffff,28
89489e22d1bffff,24
89489e22d23ffff,118
89489e22d27ffff,26
89489e22d2bffff,27
89489e22d2fffff,20
89489e22d33ffff,126
89489e22d37ffff,45
89489e22d3bffff,40
89489e22d43ffff,4
89489e22d47ffff,9
89489e22d4bffff,6
89489e22d4fffff,23
89489e22d53ffff,38
89489e22d57ffff,3
89489e22d5bffff,4
89489e22d63ffff,1
89489e22d67ffff,1
89489e22d6bffff,3
89489e22d6fffff,6
89489e22d73ffff,24
89489e22d77ffff,48
89489e22d7bffff,11
89489e22d83ffff,16
89489e22d87ffff,42
89489e22d8bffff,90
